,huc,2001_loss,2002_loss,2003_loss,2004_loss,2005_loss,2006_loss,2007_loss,2008_loss,2009_loss,2010_loss,2011_loss,2012_loss,2001_closs,2002_closs,2003_closs,2004_closs,2005_closs,2006_closs,2007_closs,2008_closs,2009_closs,2010_closs,2011_closs,2012_closs
0,5444000,0,0,0,0,0,0,0,0.000404149,0,0,0,0,0,0,0,0,0,0,0,0.000404149,0.000404149,0.000404149,0.000404149,0.000404149
1,5451210,0,0.000126342,0.000252685,0,0,0,0,0.000379027,0.000631712,0.000126342,0,0,0,0.000126342,0.000379027,0.000379027,0.000379027,0.000379027,0.000379027,0.000758054,0.001389766,0.001516109,0.001516109,0.001516109
2,5454000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5458000,0.000134345,0.000335864,0,0,0.000201518,0,0,6.72E-05,0.000134345,0,0,0,0.000134345,0.000470209,0.000470209,0.000470209,0.000671727,0.000671727,0.000671727,0.0007389,0.000873245,0.000873245,0.000873245,0.000873245
4,5464220,0,0,0.000850973,0.000319115,0,0,0,0,0,0,0.000319115,0.000106372,0,0,0.000850973,0.001170088,0.001170088,0.001170088,0.001170088,0.001170088,0.001170088,0.001170088,0.001489203,0.001595575
5,5467000,0,2.98E-05,0,2.98E-05,5.97E-05,0,0,8.95E-05,0,0.000358188,0.000656677,0.000268641,0,2.98E-05,2.98E-05,5.97E-05,0.000119396,0.000119396,0.000119396,0.000208943,0.000208943,0.00056713,0.001223808,0.001492448
6,5469500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5473450,0,0,0,0,0,0,0,0,0.000835422,0,0,0,0,0,0,0,0,0,0,0,0.000835422,0.000835422,0.000835422,0.000835422
8,5473500,0.000287191,0,0,0,0,0,0,0,0.000574383,0,0,0,0.000287191,0.000287191,0.000287191,0.000287191,0.000287191,0.000287191,0.000287191,0.000287191,0.000861574,0.000861574,0.000861574,0.000861574
9,5487980,0.000164718,0.000176078,6.25E-05,6.25E-05,0.000425996,0.000119279,0.000579355,0.000266957,0.000164718,0.000102239,0.000414636,0.000460076,0.000164718,0.000340797,0.000403276,0.000465756,0.000891752,0.00101103,0.001590385,0.001857342,0.002022061,0.0021243,0.002538936,0.002999012
10,5488200,7.11E-05,3.55E-05,0.000213295,7.11E-05,0.000426591,0.000746534,0,0.000177746,3.55E-05,0,0.000142197,0.000391042,7.11E-05,0.000106648,0.000319943,0.000391042,0.000817632,0.001564166,0.001564166,0.001741913,0.001777462,0.001777462,0.001919659,0.0023107
