,huc,total_pixels,0-10,20-Oct,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100
0,1013500,3460554,452946,17524,14042,14807,29316,41918,68229,170697,432920,2218155
1,1017550,15525,9830,174,155,150,233,575,616,815,965,2012
2,1021470,24099,8645,237,367,309,435,483,586,1174,2799,9064
3,1021480,114437,11121,918,1009,1575,2867,4218,6108,12638,27547,46436
4,1022260,240399,39235,3288,6136,9165,9047,9492,11667,18913,27367,106089
5,1022330,392850,42754,3798,4649,6697,11526,15578,19798,43870,72899,171281
6,1022500,848041,88178,7590,8218,11222,19628,29558,42932,94083,149135,397497
7,1023000,572142,48951,3987,3531,5058,9886,16786,29794,72620,112944,268585
8,1029200,675170,46165,2516,2296,3149,7298,12029,19544,49018,107205,425950
9,1030500,5521989,411063,35106,31124,38263,78972,128157,222665,528183,775006,3273450
10,1031300,454687,31681,3106,3195,2937,6179,8226,12453,29512,68874,288524
11,1031510,104783,10219,940,821,926,1812,2966,4643,8004,10428,64024
12,1033500,1247173,51643,5929,4822,5739,12154,17213,26417,61704,170988,890564
13,1037380,57681,6521,629,508,519,745,1149,1062,1722,2736,42090
14,1044550,746145,63341,4582,3266,4326,9281,12035,15404,38734,112891,482285
15,1046000,362298,38380,3439,3246,3609,7109,10494,15087,30640,62169,188125
16,1047200,97617,3777,394,584,386,912,1398,1789,4717,12789,70871
17,1048220,74011,4009,668,534,502,968,1263,2013,3823,7505,52726
18,1052500,568374,18068,3596,2728,2274,5536,5670,9670,29975,86505,404352
19,1054200,265783,2231,310,341,203,730,1411,1992,7305,41143,210117
20,1054300,498307,22802,2241,1931,1803,3365,5407,7045,16946,49192,387575
21,1055000,370624,15912,1935,2512,1778,3957,6035,8717,24176,61726,243876
22,1057000,280506,21349,2683,2560,1962,2804,4754,4849,7679,18798,213068
23,1064300,40474,6366,217,149,128,402,579,524,2242,11255,18612
24,1064400,17965,27,11,18,23,61,84,164,612,3343,13622
25,1064801,252843,10362,989,866,980,1635,2511,3271,8231,24853,199145
26,1067950,103808,15673,1281,1127,1209,1464,2403,2130,3076,3960,71485
27,1073000,45571,4925,704,562,654,836,1369,1295,1522,1864,31840
28,1074520,434557,6783,622,484,538,1416,2415,3189,17672,117905,283533
29,1075800,11365,141,20,12,15,27,38,60,278,1620,9154
30,1077400,81948,2363,319,392,279,506,852,1235,3071,9089,63842
31,1078000,322722,20058,2231,1930,2022,3382,5227,6081,10974,23064,247753
32,1084500,207421,12771,1112,938,1098,1871,3015,3457,5518,8627,169014
33,1085800,21527,617,111,74,73,120,167,209,422,2174,17560
34,1086000,550473,40735,5221,4234,4488,6397,9620,9493,15258,27323,427704
35,1091000,383304,31252,3957,3352,3434,5220,8768,8658,12464,17553,288646
36,1093800,13605,454,135,51,54,80,116,124,183,507,11901
37,1096503,223331,17925,2820,2840,3220,4262,6766,6630,8037,11613,159218
38,1109090,18224,362,124,146,163,565,1419,1910,2002,2754,8779
39,1115630,30918,3439,422,336,369,545,1083,894,1203,1267,21360
40,1115670,15513,982,120,108,134,250,407,307,388,549,12268
41,1115770,26871,3636,234,224,228,469,737,1098,1656,2408,16181
42,1117370,71238,8624,842,786,959,1239,1810,1869,2217,3047,49845
43,1117468,35993,1998,340,302,378,654,839,767,883,1134,28698
44,1117800,128049,7903,850,817,1014,1860,3173,3479,4862,7440,96651
45,1118300,14756,663,118,104,87,162,207,197,589,401,12228
46,1120500,9599,1414,154,144,113,157,216,216,247,307,6631
47,1121000,99595,7936,1103,992,900,1450,1933,1830,2508,2970,77973
48,1123000,110257,12101,1594,1390,1335,2036,2968,2460,3352,4193,78828
49,1127880,25496,395,93,136,136,217,382,468,1536,4155,17978
50,1130000,881158,23083,3000,2373,2563,4988,7441,10046,30944,118543,678177
51,1134500,287863,5692,859,633,681,1683,2409,3234,7913,36315,228444
52,1135000,492582,26258,3421,2223,2692,4880,6352,7175,13986,52047,373548
53,1135150,15078,1933,150,89,56,190,148,170,513,1274,10555
54,1135300,163568,23492,2594,1598,1462,2589,2819,3056,5434,12894,107630
55,1137500,334940,16058,1560,1111,1015,2173,3575,3460,10082,63008,232898
56,1138000,1501325,96753,11562,8662,8596,14741,20757,20700,41083,171145,1107326
57,1139000,360537,31045,3270,2457,2320,3822,5096,5462,9784,25957,271324
58,1139800,33576,1407,242,246,186,268,412,542,824,3370,26079
59,1141800,18099,1159,93,82,93,113,170,175,422,655,15137
60,1142500,120084,19879,2441,1413,1330,1992,1964,1964,2870,7151,79080
61,1144000,2601493,240565,30833,22483,18984,29603,36906,39232,63321,168701,1950865
62,1145000,302630,18934,1788,1415,1471,2286,3493,4064,9727,24633,234819
63,1150900,89075,8746,795,504,518,964,1223,1488,2527,6946,65364
64,1153500,379674,29624,4010,2523,2565,3659,4845,4871,7572,17148,302857
65,1154000,269948,15655,2290,1487,1519,2294,2988,2926,4619,11493,224677
66,1155000,310657,20988,2613,1767,1889,3043,3978,4055,6595,11503,254226
67,1162500,71588,3502,561,527,622,1100,1559,1934,3585,4716,53482
68,1165500,47255,1270,134,126,137,281,439,532,1159,2674,40503
69,1169000,329946,24360,3518,2062,1892,3024,3605,3315,5427,10204,272539
70,1170100,153412,5450,944,466,487,783,838,862,1839,4496,137247
71,1170930,67433,10305,1065,835,917,925,1164,907,1262,1535,48518
72,1174000,13195,701,99,71,80,109,132,128,227,302,11346
73,1174565,47374,497,101,69,62,124,219,279,559,1271,44193
74,1174600,2403,42,2,0,3,7,5,7,19,51,2267
75,1174900,10320,101,6,2,13,20,33,50,129,286,9680
76,1176780,50429,2503,555,473,539,773,1340,1319,1861,2375,38691
77,1180000,5305,194,25,16,20,42,56,61,140,175,4576
78,1181000,346192,11893,1749,1702,1699,2648,4378,5000,6466,9817,300840
79,1187300,76683,2038,240,219,240,460,631,614,922,1149,70170
80,1187400,27424,868,178,120,110,224,247,246,276,388,24767
81,1188000,15117,2061,356,268,288,312,527,479,536,692,9598
82,1193500,381404,40494,6735,7077,7658,8631,13708,11475,15083,17393,253150
83,1194000,73778,4366,584,577,594,870,1273,1272,1731,2122,60389
84,1198000,188077,19673,2374,1873,1546,1957,3298,3184,4271,5331,144570
85,1199200,12946,775,105,98,100,175,266,208,280,273,10666
86,1203805,98959,14171,1923,1356,1210,1921,2588,2269,2932,3310,67279
87,1208950,27147,1773,467,391,493,580,1157,1077,1393,2394,17422
88,1319000,424323,3197,514,655,480,1195,2359,3073,8995,34598,369257
89,1333000,160402,20912,2277,1728,1064,1300,2261,1980,3121,9583,116176
90,1333500,201275,15499,2410,2017,1241,1582,2642,2135,3613,10778,159358
91,1343060,881821,21159,1372,1505,1569,3544,6071,8167,19990,79014,739430
92,1349711,18163,18,7,17,3,4,33,64,626,3705,13686
93,1349810,104630,3533,1079,788,464,715,1325,1354,2775,11293,81304
94,1349840,7540,8,2,10,0,2,9,20,37,567,6885
95,1350080,119440,12731,2585,1408,1124,1629,2027,1746,2469,6028,87693
96,1350140,62592,8248,1338,793,671,986,1294,1147,1701,3284,43130
97,1361500,359620,45455,8860,5325,4039,5201,6762,5538,8667,19965,249808
98,1362198,218455,3205,1150,1543,919,1110,2576,2320,4981,17885,182766
99,1362200,239357,3247,1183,1642,968,1144,2754,2478,5488,20178,200275
100,136230002,75474,225,143,387,127,229,933,1087,2380,8805,61158
101,1362370,113838,723,292,905,242,318,1584,1416,3005,14399,90954
102,1362497,61258,1095,344,268,397,472,697,621,852,1466,55046
103,1363382,62846,322,151,551,63,155,1057,1063,2891,6618,49975
104,1364959,19979,20,4,0,17,35,52,355,815,3300,15381
105,1365000,140816,2615,622,662,274,475,1168,1322,3630,10951,119097
106,1374781,47365,6518,1101,942,833,979,1726,1811,2329,3111,28015
107,1409810,299255,20437,6048,5277,6867,12179,17749,17491,55797,48229,109181
108,1411300,108420,9131,1162,1094,1191,1402,2656,2573,2707,7526,78978
109,1413408,301698,23962,5239,2850,2301,3996,4507,4929,8493,20998,224423
110,1413500,601068,70220,15391,8137,6815,10943,12012,11939,19236,43840,402535
111,1414000,128538,18739,3932,1768,1474,2869,3142,3150,5377,11273,76814
112,1414500,91432,5229,1105,467,439,711,811,941,1679,5421,74629
113,1415000,121724,22844,3312,1559,1438,2357,2289,2618,3941,6416,74950
114,1415460,29318,5704,715,300,292,444,403,437,657,1077,19289
115,1418500,301247,9655,2104,1420,1099,2051,3158,3686,7749,20174,250151
116,1419500,229305,8621,1477,964,942,1704,2418,2652,5371,12845,192311
117,1421618,53265,17529,1744,692,777,1059,1011,1017,1668,3007,24761
118,1422389,4637,103,28,15,7,33,49,47,75,196,4084
119,1422500,183250,40445,5999,2753,2212,4128,4060,4052,6596,10679,102326
120,1422738,2427,520,116,64,39,66,44,72,84,89,1333
121,1422747,91065,24726,3733,1580,1276,1954,1931,1790,2524,4197,47354
122,142400103,75222,16405,2491,1146,988,1462,1606,1217,1882,2839,45186
123,143400680,33288,7,11,61,7,21,108,84,1017,6884,25088
124,1434017,84479,942,200,177,99,285,463,522,2154,10643,68994
125,1434021,3149,2,0,1,1,0,3,25,466,887,1764
126,1434025,13892,2,5,16,0,8,66,116,362,1326,11991
127,1435000,243718,3974,725,590,431,983,1544,1850,5716,22941,204964
128,1439500,427287,10971,1658,1640,2138,3593,5331,5115,8488,13880,374473
129,1439800,87187,770,221,231,210,377,529,534,656,1109,82550
130,1440000,234664,9796,2211,1742,1598,2211,3177,2911,3835,6312,200871
131,1440400,244983,8739,1829,1514,1765,2524,3837,3586,5700,9712,205777
132,1448500,8915,83,25,34,79,126,196,276,636,1788,5672
133,1451800,188221,122913,5157,4688,4499,3616,5120,3701,5356,6747,26424
134,1460880,82739,38005,2535,2328,2045,1958,2536,1727,2435,2885,26285
135,1461300,96638,35529,2938,2875,2375,2512,3366,2376,3455,3987,37225
