siteID,disDate,pLoss
06360500,2004-01-01,0.23
06440200,2003-01-01,1.0
06447500,2004-01-01,0.54
06775500,2012-01-01,0.44
06858500,2011-01-01,1.0
06859500,2008-01-01,0.33
07233500,2008-01-01,1.0
07311600,2001-01-01,0.46
08082180,2010-01-01,1.0
08086150,2001-01-01,0.62
08088300,2001-01-01,0.43
08128400,2003-01-01,0.29
08130700,2012-01-01,0.46
08131400,2010-01-01,1.0
08158810,2001-01-01,0.36
08194200,2002-01-01,0.33
08294195,2011-01-01,0.35
09040000,2007-01-01,0.37
09052000,2007-01-01,0.28
09460150,2004-01-01,0.42
09484000,2003-01-01,0.49
09489100,2011-01-01,0.5
09497700,2002-01-01,0.71
09497800,2002-01-01,0.61
09508300,2004-01-01,1.0
09510100,2012-01-01,0.81
09513780,2005-01-01,1.0
09513800,2005-01-01,1.0
10224100,2012-01-01,0.36
10255810,2002-01-01,0.73
10255850,2002-01-01,1.0
10257600,2006-01-01,0.24
11015000,2003-01-01,0.85
11058000,2002-01-01,0.42
11058600,2003-01-01,0.65
11073470,2003-01-01,0.58
11086500,2002-01-01,0.88
11094000,2009-01-01,0.95
11096500,2009-01-01,0.9
11098000,2009-01-01,0.97
11124500,2007-01-01,0.81
11143000,2008-01-01,0.75
11151300,2001-01-01,0.23
11151870,2008-01-01,0.87
11197250,2007-01-01,0.61
11274500,2006-01-01,0.59
11274630,2001-01-01,0.53
11299600,2002-01-01,0.4
12374250,2007-01-01,0.61
12447390,2003-01-01,0.41
13216500,2004-01-01,0.25
13308500,2012-01-01,0.25
14199704,2004-01-01,0.24
14316495,2009-01-01,0.37
72632971,2004-01-01,0.24
